,timestamp,db_time,lha_poly_0,lha_count_0,lha_poly_1,lha_count_1,lhb_poly_0,lhb_count_0,lhb_poly_1,lhb_count_1
0,2024-12-10T15:27:05.191002Z,206921,1,36669,1,75077,3,37516,3,78457
1,2024-12-10T15:27:05.210939Z,226858,1,36672,0,75076,2,37517,2,78454
2,2024-12-10T15:27:05.270748Z,286667,0,36674,0,75077,3,37517,3,78453
3,2024-12-10T15:27:05.310622Z,326541,0,36675,0,75077,2,37515,2,78450
4,2024-12-10T15:27:05.370433Z,386352,0,36674,0,75077,3,37515,3,78452
5,2024-12-10T15:27:05.390369Z,406288,0,36674,0,75076,2,37514,2,78450
6,2024-12-10T15:27:05.430243Z,446162,0,36673,0,75076,3,37515,3,78450
7,2024-12-10T15:27:05.450179Z,466098,0,36674,0,75076,3,37515,3,78449
8,2024-12-10T15:27:05.490053Z,505972,0,36675,0,75077,3,37517,3,78452
9,2024-12-10T15:27:05.509990Z,525909,0,36673,1,75076,2,37516,2,78451
10,2024-12-10T15:27:05.549863Z,565782,0,36674,0,75076,2,37517,2,78453
11,2024-12-10T15:27:05.569800Z,585719,0,36673,0,75076,2,37518,2,78453
12,2024-12-10T15:27:05.609674Z,625593,0,36674,0,75077,2,37518,2,78454
13,2024-12-10T15:27:05.629611Z,645530,0,36674,0,75077,2,37518,2,78454
14,2024-12-10T15:27:05.669485Z,685404,0,36674,0,75077,2,37518,2,78455
15,2024-12-10T15:27:05.689422Z,705341,1,36671,1,75077,2,37517,2,78452
16,2024-12-10T15:27:05.749232Z,765151,1,36671,1,75077,2,37517,2,78454
17,2024-12-10T15:27:05.789105Z,805024,0,36673,0,75076,2,37518,2,78454
18,2024-12-10T15:27:05.809042Z,824961,1,36673,1,75078,2,37515,2,78454
19,2024-12-10T15:27:05.848916Z,864835,1,36672,1,75077,3,37515,3,78453
20,2024-12-10T15:27:05.868853Z,884772,0,36670,0,75076,2,37516,2,78454
21,2024-12-10T15:27:05.908726Z,924645,1,36671,1,75075,3,37516,3,78452
22,2024-12-10T15:27:05.928663Z,944582,1,36673,1,75080,3,37515,2,78450
23,2024-12-10T15:27:05.968537Z,984456,1,36672,1,75077,2,37515,2,78452
24,2024-12-10T15:27:05.988474Z,1004393,1,36673,1,75076,3,37516,3,78452
25,2024-12-10T15:27:06.028347Z,1044266,0,36672,0,75076,2,37516,2,78454
26,2024-12-10T15:27:06.048284Z,1064203,1,36671,1,75077,2,37518,2,78455
27,2024-12-10T15:27:06.088158Z,1104077,1,36671,1,75075,2,37519,2,78455
