LH,c1,c2,mae,rms,std,dist,angle_1,angle_2,max_angle,ecc1,ecc2,ecc_dif
LHA,3,8,13.98,16.21,8.21,602.73,0.161,0.109,0.161,0.879,0.921,0.042
LHB,3,8,8.50,10.29,5.80,602.73,0.207,0.269,0.269,0.734,0.882,0.148
LHA,3,9,10.34,12.12,6.32,1103.20,0.161,0.346,0.346,0.879,0.942,0.062
LHB,3,9,7.27,8.42,4.25,1103.20,0.207,0.271,0.271,0.734,0.920,0.186
LHA,4,5,41.11,48.97,26.61,445.04,0.184,0.535,0.535,0.824,0.866,0.041
LHB,4,5,7.21,8.77,4.99,445.04,0.161,0.338,0.338,0.820,0.892,0.072
LHA,4,6,6.41,7.86,4.55,595.48,0.184,0.559,0.559,0.824,0.906,0.082
LHB,4,6,10.79,12.03,5.31,595.48,0.161,0.266,0.266,0.820,0.903,0.083
LHA,4,7,8.02,9.74,5.53,513.44,0.184,0.279,0.279,0.824,0.907,0.082
LHB,4,7,6.93,8.11,4.21,513.44,0.161,0.125,0.161,0.820,0.884,0.065
LHA,4,8,7.44,8.91,4.90,697.25,0.184,0.109,0.184,0.824,0.921,0.097
LHB,4,8,8.43,10.42,6.13,697.25,0.161,0.269,0.269,0.820,0.882,0.062
LHA,4,9,4.44,5.22,2.75,998.40,0.184,0.346,0.346,0.824,0.942,0.117
LHB,4,9,7.28,8.43,4.26,998.40,0.161,0.271,0.271,0.820,0.920,0.101
LHA,5,6,57.97,66.95,33.50,288.93,0.535,0.559,0.559,0.866,0.906,0.040
LHB,5,6,27.97,31.79,15.09,288.93,0.338,0.266,0.338,0.892,0.903,0.011
LHA,5,7,26.71,32.11,17.82,585.84,0.535,0.279,0.535,0.866,0.907,0.041
LHB,5,7,8.99,10.63,5.68,585.84,0.338,0.125,0.338,0.892,0.884,0.007
LHA,5,8,24.72,29.85,16.73,956.67,0.535,0.109,0.535,0.866,0.921,0.055
LHB,5,8,6.07,7.47,4.35,956.67,0.338,0.269,0.338,0.892,0.882,0.010
LHA,5,9,19.09,22.50,11.90,1022.08,0.535,0.346,0.535,0.866,0.942,0.076
LHB,5,9,8.59,9.86,4.83,1022.08,0.338,0.271,0.338,0.892,0.920,0.029
LHA,6,7,5.25,6.00,2.90,450.72,0.559,0.279,0.559,0.906,0.907,0.001
LHB,6,7,10.80,12.48,6.27,450.72,0.266,0.125,0.266,0.903,0.884,0.018
LHA,6,8,9.69,11.78,6.69,869.37,0.559,0.109,0.559,0.906,0.921,0.015
LHB,6,8,12.61,14.89,7.92,869.37,0.266,0.269,0.269,0.903,0.882,0.021
LHA,6,9,6.75,7.77,3.85,792.63,0.559,0.346,0.559,0.906,0.942,0.036
LHB,6,9,7.60,8.95,4.73,792.63,0.266,0.271,0.271,0.903,0.920,0.017
LHA,7,8,19.63,23.73,13.34,420.76,0.279,0.109,0.279,0.907,0.921,0.014
LHB,7,8,16.51,19.57,10.50,420.76,0.125,0.269,0.269,0.884,0.882,0.003
LHA,7,9,9.72,10.92,4.98,489.45,0.279,0.346,0.346,0.907,0.942,0.035
LHB,7,9,7.65,8.78,4.30,489.45,0.125,0.271,0.271,0.884,0.920,0.036
LHA,8,9,8.20,10.08,5.86,544.92,0.109,0.346,0.346,0.921,0.942,0.021
LHB,8,9,17.28,19.66,9.37,544.92,0.269,0.271,0.271,0.882,0.920,0.039
LHA,0,1,11.32,12.51,5.34,391.03,0.297,0.364,0.364,0.864,0.832,0.032
LHB,0,1,26.59,31.49,16.86,391.03,0.224,0.370,0.370,0.643,0.709,0.065
LHA,0,2,10.24,11.44,5.10,753.25,0.297,0.369,0.369,0.864,0.753,0.111
LHB,0,2,8.63,10.45,5.90,753.25,0.224,0.484,0.484,0.643,0.816,0.173
LHA,0,3,9.66,10.90,5.04,1012.06,0.297,0.438,0.438,0.864,0.678,0.186
LHB,0,3,8.35,9.89,5.30,1012.06,0.224,0.574,0.574,0.643,0.857,0.213
LHA,0,4,15.19,16.90,7.40,1086.28,0.297,0.236,0.297,0.864,0.633,0.231
LHB,0,4,15.72,17.71,8.15,1086.28,0.224,0.373,0.373,0.643,0.870,0.227
LHA,0,5,20.92,24.07,11.90,889.20,0.297,0.150,0.297,0.864,0.752,0.112
LHB,0,5,25.80,28.97,13.18,889.20,0.224,0.189,0.224,0.643,0.847,0.203
LHA,0,6,20.46,22.64,9.70,752.39,0.297,0.190,0.297,0.864,0.844,0.020
