,num_circles,experiment_number,LH,mae_all,rms_all,std_all,mae_experiment,rms_experiment,std_experiment,estimated_ecc,circle_0_index,circle_0_ecc,circle_1_index,circle_1_ecc
25,2,1,LHA,5.234430865574542,6.2795145891103035,3.4688668161763845,5.673573182386812,6.664206847297454,3.4960292115008778,0.23086293160415594,3,0.1806444664041759,5,0.18131351012917324
26,2,1,LHA,9.924599111336999,11.717378101860264,6.228906971628592,11.464270929908308,13.401442879511572,6.940400802437184,0.2454344111008078,3,0.1806444664041759,6,0.15550793560093598
27,2,1,LHA,12.163397002008418,14.239976058429193,7.404639864042628,14.32534349533275,16.843523170951933,8.85939086795037,0.28444898701673316,3,0.1806444664041759,7,0.09389228472164692
28,2,1,LHA,27.610293229885215,31.384287508693873,14.921300552837636,30.71085733761512,34.87726550401132,16.530786146640132,0.46261095381828704,3,0.1806444664041759,8,0.0996919702442314
29,2,1,LHA,16.2238367336858,18.56746129244514,9.029825052854349,18.54276643868787,21.41928653822774,10.721550662426349,0.3729736110043339,3,0.1806444664041759,9,0.08689708645523127
30,2,1,LHA,19.885889233567493,24.012867699950192,13.459911759205403,23.551918053530464,29.64887166411971,18.01007348555876,0.25812725193439057,4,0.0371828397862812,5,0.18131351012917324
31,2,1,LHA,11.910790268962735,14.468546117070998,8.214128189320695,13.213694928778569,15.12832399105771,7.366441006862393,0.2615919414457344,4,0.0371828397862812,6,0.15550793560093598
32,2,1,LHA,16.562215585253163,19.538381859295626,10.365393412082803,18.81601302953474,21.50574231675838,10.414154131142428,0.32567105747187686,4,0.0371828397862812,7,0.09389228472164692
33,2,1,LHA,8.984634493227743,9.994907510042987,4.378871904659458,9.87506271242426,10.862018705286147,4.52400119138735,0.236926499263765,4,0.0371828397862812,8,0.0996919702442314
34,2,1,LHA,7.771182841957089,8.787050364112087,4.101337749846273,8.752449263577109,9.839453356606692,4.495494883252256,0.24792248456946336,4,0.0371828397862812,9,0.08689708645523127
35,2,1,LHA,22.689308973301248,26.57157520699584,13.829094955748449,26.82659745908869,31.893761431244084,17.249512659815327,0.3863595201514167,5,0.18131351012917324,6,0.15550793560093598
36,2,1,LHA,10.937933317367664,12.305740799789401,5.638516770962013,12.303392182299342,13.79242158804953,6.2335731383396915,0.302844141169746,5,0.18131351012917324,7,0.09389228472164692
37,2,1,LHA,14.448686397082504,16.636163924011324,8.246054299199029,16.647561134559282,19.363524674978212,9.889630736766735,0.2863991830721161,5,0.18131351012917324,8,0.0996919702442314
38,2,1,LHA,13.832297749068855,15.415257071199852,6.8042405566148,15.243225456360227,16.751440289595468,6.946569618340687,0.3137358835688252,5,0.18131351012917324,9,0.08689708645523127
39,2,1,LHA,5.379459372993492,6.439890528236447,3.5402834448645435,5.863555892680445,6.873238530608999,3.5861009734892564,0.17044212487868482,6,0.15550793560093598,7,0.09389228472164692
40,2,1,LHA,12.268140011207386,14.812198529107743,8.300238908074519,14.580226949333921,18.265203447193006,11.001574390661917,0.2654559974944044,6,0.15550793560093598,8,0.0996919702442314
41,2,1,LHA,13.03355310551433,15.014717621310027,7.454410687198257,15.018424106408599,17.4901809900256,8.964004039707806,0.29369145725656387,6,0.15550793560093598,9,0.08689708645523127
42,2,1,LHA,27.499679755903955,33.05380962786875,18.339082426286094,32.828429669009736,40.8280614924792,24.27395333892987,0.42925162910285913,7,0.09389228472164692,8,0.0996919702442314
