,num_circles,experiment_number,LH,mae_all,rms_all,std_all,mae_experiment,rms_experiment,std_experiment,estimated_ecc,circle_0_index,circle_0_ecc,circle_1_index,circle_1_ecc,max_mocap_ecc
79,2,1,LHB,7.279893059699432,8.43333574131794,4.257265409289239,7.956028725388268,9.138082277874853,4.4951256531944885,0.20705966906057566,4,0.06536005514834138,9,0.1367361790349284,0.1367361790349284
80,2,1,LHB,27.974456666475636,31.786717274558917,15.093878537613142,32.234895073766836,36.842124539670536,17.839665921194722,0.45337336910206694,5,0.12923694295775529,6,0.07027940932299263,0.12923694295775529
81,2,1,LHB,8.98776047640447,10.631000557550417,5.677881160557951,10.178968397733499,12.248718288528995,6.813200574596891,0.24602097397093142,5,0.12923694295775529,7,0.10659593578976845,0.12923694295775529
82,2,1,LHB,6.06767663563118,7.467555459656282,4.352893840706183,6.944019475596403,8.388237446362274,4.705647774652512,0.19567013859366084,5,0.12923694295775529,8,0.12804699152131954,0.12923694295775529
83,2,1,LHB,8.588996407487256,9.85534498212965,4.832904450634117,9.646459380988075,11.110320811158806,5.5122635947327145,0.2554144531809867,5,0.12923694295775529,9,0.1367361790349284,0.1367361790349284
84,2,1,LHB,10.798076878021762,12.483994695799131,6.26511446831362,11.650420876964038,13.460413712389183,6.741693459233764,0.27763353360968757,6,0.07027940932299263,7,0.10659593578976845,0.10659593578976845
85,2,1,LHB,12.611001107866148,14.892193565130734,7.920863604350224,13.865411112950486,16.830701803541988,9.540592113103918,0.3152970179981936,6,0.07027940932299263,8,0.12804699152131954,0.12804699152131954
86,2,1,LHB,7.598983115353174,8.948630905681629,4.725828043708084,8.18035083199077,9.75805337146597,5.319912204719761,0.20712507600584174,6,0.07027940932299263,9,0.1367361790349284,0.1367361790349284
87,2,1,LHB,16.5144858198879,19.56753655624524,10.495725081418401,18.538223041926166,22.73276678157448,13.157240287889167,0.3435189009781562,7,0.10659593578976845,8,0.12804699152131954,0.12804699152131954
88,2,1,LHB,7.652959353333906,8.776181892327642,4.295763231771351,8.374681842410686,9.51500773477424,4.516644355183434,0.2196269761255194,7,0.10659593578976845,9,0.1367361790349284,0.1367361790349284
89,2,1,LHB,17.281934891459375,19.6592002558498,9.371172877872008,18.600692309734168,20.45854590225331,8.51858826527035,0.38568089026927815,8,0.12804699152131954,9,0.1367361790349284,0.1367361790349284
